 ID,Date,Parameter/Paramètre,Value/Valeur,Symbol/Symbole
01ED003,1954-12-17,discharge/débit,69.4,
01ED003,1954-12-18,discharge/débit,69.9,
01ED003,1954-12-19,discharge/débit,41.6,
01ED003,1954-12-20,discharge/débit,68.2,
01ED003,1954-12-21,discharge/débit,70.2,
01ED003,1954-12-22,discharge/débit,64.8,
01ED003,1954-12-23,discharge/débit,59.7,
01ED003,1954-12-24,discharge/débit,59.2,
01ED003,1954-12-25,discharge/débit,17.5,
01ED003,1954-12-26,discharge/débit,15.2,
01ED003,1954-12-27,discharge/débit,37.9,
01ED003,1954-12-28,discharge/débit,59.5,
01ED003,1954-12-29,discharge/débit,59.5,
01ED003,1954-12-30,discharge/débit,76.5,
01ED003,1954-12-31,discharge/débit,69.1,
01ED003,1955-01-01,discharge/débit,78.4,
01ED003,1955-01-02,discharge/débit,39.6,
01ED003,1955-01-03,discharge/débit,54.4,
01ED003,1955-01-04,discharge/débit,64.3,
01ED003,1955-01-05,discharge/débit,56.6,
01ED003,1955-01-06,discharge/débit,60.6,
01ED003,1955-01-07,discharge/débit,61.2,
01ED003,1955-01-08,discharge/débit,61.7,
01ED003,1955-01-09,discharge/débit,34.8,
01ED003,1955-01-10,discharge/débit,50.4,
01ED003,1955-01-11,discharge/débit,58.3,
01ED003,1955-01-12,discharge/débit,58.3,
01ED003,1955-01-13,discharge/débit,57.2,
01ED003,1955-01-14,discharge/débit,56.1,
01ED003,1955-01-15,discharge/débit,68.2,
01ED003,1955-01-16,discharge/débit,40.5,
01ED003,1955-01-17,discharge/débit,39.4,
01ED003,1955-01-18,discharge/débit,55.5,
01ED003,1955-01-19,discharge/débit,54.4,
01ED003,1955-01-20,discharge/débit,57.2,
01ED003,1955-01-21,discharge/débit,60.6,
01ED003,1955-01-22,discharge/débit,57.2,
01ED003,1955-01-23,discharge/débit,30.3,
01ED003,1955-01-24,discharge/débit,36.8,
01ED003,1955-01-25,discharge/débit,51.0,
01ED003,1955-01-26,discharge/débit,55.5,
